Fold,SVR_MSE,GPR_MSE,RF_MSE
1,0.12280179387304051,0.1472774340430697,0.0317164843593211
2,0.46209799091401,0.3718778684847126,0.029067070984277087
3,0.26337292159261316,0.13806223150334448,0.1571712086469403
4,0.1763629037499659,0.1905543308625692,0.1466821019038603
5,0.8288214170208521,0.7237301886970178,0.19424351712027532
6,0.12041861033081334,0.07643128718655047,0.025524123091755686
7,0.09336221956295883,0.08879135313792375,0.016760452839007532
8,0.09715012033728455,0.07242898155661251,0.01704861561602186
9,0.04108315601314396,0.18191227129808904,0.02666040368767276
Average,0.24505234815496468,0.22122954964109884,0.07165266424990355
Std Dev,0.2524668745756362,0.20938074338934945,0.07204745762052332
